id,subject,fact,detail,source,tags,pillar
F14,Auxiliary power unit,The APU is a small jet engine in the tail that powers the plane on the ground,It runs the lights and air conditioning before the main engines start,https://en.wikipedia.org/wiki/Auxiliary_power_unit,systems engineering,technical_awe
F15,Fly-by-wire,Modern jets replace control cables with electronic flight controls,Computers move the surfaces based on the pilot's inputs,https://en.wikipedia.org/wiki/Fly-by-wire,avionics modern,technical_awe
F16,Cabin pressure,Airliner cabins are pressurized to roughly 2400 meters of altitude,That is why your ears pop on climb and descent,https://en.wikipedia.org/wiki/Cabin_pressurization,systems comfort,technical_awe
F17,Wake turbulence,Big jets shed powerful wingtip vortices that can flip a small plane,Controllers space aircraft apart to avoid this invisible hazard,https://en.wikipedia.org/wiki/Wake_turbulence,aerodynamics safety,technical_awe
F18,Pitot tube,Airspeed is measured by comparing ram air to still air pressure,A blocked pitot tube has caused fatal airspeed errors,https://en.wikipedia.org/wiki/Pitot_tube,instruments aerodynamics,technical_awe
F19,Boeing 737,It is the best-selling jet airliner in history,Thousands are in the air at any given moment worldwide,https://en.wikipedia.org/wiki/Boeing_737,narrowbody bestseller,spotting
F20,Emirates,It operates one of the largest A380 fleets in the world,Its double-decker superjumbos are a spotter favorite,https://en.wikipedia.org/wiki/Emirates_(airline),livery a380,spotting
F21,Kai Tak Airport,Hong Kong's old airport had a famously steep turn to land,Pilots banked hard past apartment blocks on final approach,https://en.wikipedia.org/wiki/Kai_Tak_Airport,airport legendary approach,spotting
F22,Spitfire,Its elliptical wing is one of the most beautiful shapes in aviation,The design gave it low drag and superb handling in WWII,https://en.wikipedia.org/wiki/Supermarine_Spitfire,warbird retro,spotting
F23,Boeing 747,The 747 earned the nickname Queen of the Skies,Its hump and four engines make it instantly recognizable,https://en.wikipedia.org/wiki/Boeing_747,queen icon,spotting
F24,Concorde,Only 20 Concordes were ever built,Its droop nose lowered so pilots could see the runway on landing,https://en.wikipedia.org/wiki/Concorde,supersonic retro,spotting
F25,F-22 Raptor,It can supercruise past Mach 1 without using afterburner,Thrust vectoring lets it point its nose in extreme maneuvers,https://en.wikipedia.org/wiki/Lockheed_Martin_F-22_Raptor,fighter airshow,spotting
F26,Boeing 777,It has some of the largest jet engines ever fitted to an airliner,The GE90 fan is nearly as wide as a 737 fuselage,https://en.wikipedia.org/wiki/Boeing_777,widebody engine,spotting
F27,Airbus A350,Its curved wingtips and black cockpit mask make it easy to spot,The composite airframe gives it a smooth quiet ride,https://en.wikipedia.org/wiki/Airbus_A350,modern livery,spotting
F28,US Airways 1549,Sully landed an A320 on the Hudson River after a bird strike,All 155 people aboard survived the water landing in 2009,https://en.wikipedia.org/wiki/US_Airways_Flight_1549,incident hero,aviation_story
F29,British Airways 9,A 747 flew through volcanic ash and all four engines quit,The crew restarted the engines and landed safely in 1982,https://en.wikipedia.org/wiki/British_Airways_Flight_9,incident legendary,aviation_story
F30,Aloha Airlines 243,A 737 lost part of its roof in flight in 1988,The plane landed with the cabin open to the sky,https://en.wikipedia.org/wiki/Aloha_Airlines_Flight_243,incident structural,aviation_story
F31,Chuck Yeager,He first broke the sound barrier in 1947 in the Bell X-1,He flew faster than sound while nursing broken ribs,https://en.wikipedia.org/wiki/Chuck_Yeager,supersonic history,aviation_story
F32,Wright Flyer,The first powered flight in 1903 lasted about 12 seconds,It covered roughly 37 meters at Kitty Hawk,https://en.wikipedia.org/wiki/Wright_Flyer,history first,aviation_story
F33,Amelia Earhart,She was the first woman to fly solo across the Atlantic,She vanished over the Pacific in 1937,https://en.wikipedia.org/wiki/Amelia_Earhart,history pioneer,aviation_story
F34,Boeing 367-80,A Boeing test pilot barrel-rolled the 707 prototype over a crowd,Tex Johnston rolled the jet in 1955 to show it off,https://en.wikipedia.org/wiki/Boeing_367-80,history bold,aviation_story
F35,Concorde,Its final flight in 2003 ended supersonic airline travel,No airliner has carried passengers faster since,https://en.wikipedia.org/wiki/Concorde,supersonic retirement,aviation_story
F36,Pan Am,Its Boeing 707 helped launch the jet age in 1958,Pan Am set the style for global air travel,https://en.wikipedia.org/wiki/Pan_American_World_Airways,retro history,aviation_story
F37,Airline pilot,US airline captains need 1500 flight hours for the ATP certificate,The rule was tightened after the Colgan Air crash,https://en.wikipedia.org/wiki/Airline_Transport_Pilot_Licence,training career,pilot_path
F38,First solo,Tradition cuts off the back of a student's shirt after their first solo,The custom dates to when instructors tugged the shirt to give commands,https://en.wikipedia.org/wiki/First_solo_flight,training tradition,pilot_path
F39,Private pilot,A US private pilot license needs at least 40 flight hours,Most students actually take 60 to 70 hours to be ready,https://en.wikipedia.org/wiki/Private_pilot_licence,training license,pilot_path
F40,Phonetic alphabet,Pilots say Alpha Bravo Charlie to spell things over the radio,The NATO alphabet avoids confusing similar-sounding letters,https://en.wikipedia.org/wiki/NATO_phonetic_alphabet,radio basics,pilot_path
F41,Sterile cockpit,Below 10000 feet crews may only talk about flying the plane,The rule cuts distractions during the busiest phases of flight,https://en.wikipedia.org/wiki/Sterile_flight_deck_rule,safety procedure,pilot_path
F42,Checkride,The practical pilot exam with an examiner is called a checkride,Passing it earns the license or the new rating,https://en.wikipedia.org/wiki/Checkride,training exam,pilot_path
F43,Type rating,Pilots need a separate type rating to fly each large jet,A 737 pilot cannot just jump into an A320,https://en.wikipedia.org/wiki/Type_rating,training career,pilot_path
F44,Instrument rating,An instrument rating lets pilots fly in clouds using instruments,It is the single biggest skill jump after the private license,https://en.wikipedia.org/wiki/Instrument_rating,training skill,pilot_path
F45,Go-around,A pilot who aborts a landing and climbs away is doing a go-around,It is a normal safe decision and not a failure,https://en.wikipedia.org/wiki/Go-around,training procedure,pilot_path
F46,Pilot logbook,Every flight a pilot makes is recorded in a logbook,Hours in the logbook unlock new licenses and jobs,https://en.wikipedia.org/wiki/Pilot_logbook,training career,pilot_path
F47,Student pilot,You can fly a plane solo at 16 in the US before you can drive alone,A private license can come at 17,https://en.wikipedia.org/wiki/Pilot_certification_in_the_United_States,training youth,pilot_path
F48,Retirement age,US airline pilots must retire at 65,The age was raised from 60 in 2007,https://en.wikipedia.org/wiki/Mandatory_retirement,career rules,pilot_path
